Application_ID,Candidate_ID,Candidate_Name,Age,Gender,Education,Degree,Graduation_Year,Experience_Years,Candidate_Skills,Job_ID,Job_Title,Company_Name,Industry,Job_Location,State,Job_Type,Work_Mode,Required_Skills,Minimum_Experience,Salary_Range,Salary_Expected_LPA,Salary_Offered_LPA,Application_Date,Application_Source,Application_Status,Interview_Status,Final_Status,Skills_Match_Percentage,Experience_Match,Eligibility_Status,Job_Match_Score,Days_to_Response
APP114216,CAND31998,Ananya Das,30,Female,Master's,MCA,2017,1.3,"Adaptability, Teamwork, Pandas, NLP, Machine Learning",JOB5274,Data Scientist,Lotus Networks,Information Technology,Kochi,Kerala,Full-Time,Work From Home,"Data Visualization, Scikit-learn, Machine Learning, SQL",3,6 to 10.5 Lakhs,8.5,6.1L,09-05-2024,Indeed,Onhold,Not Scheduled,In Process,22.5,No,Not Eligible,24.6,14
APP111628,CAND25158,Snehal Chopra,32,Female,Bachelor's,B.Com,,5,"Employee Engagement, Onboarding, Attendance Management",JOB5220,HR Executive,Yellowstone Services,Human Resources,Pune,Maharashtra,Contract,Hybrid,"Communication, Exit Formalities, Attendance Management, Labour Law, Recruitment",0,4.4 to 6.1 Lakhs,4.6L,4.6,20-07-2024,Referral,on hold,Not Scheduled,In Process,17.1,Yes,Not Eligible,52.8,42
APP105440,CAND25792,,35,Female,Bachelor's,B.Sc Statistics,2023,2,"Power BI, Tableau, VLOOKUP, SQL, Statistics",JOB5696,Data Analyst,Fusion Networks,Information Technology,Coimbatore,Tamil Nadu,Full-Time,Work From Office,"Power BI, Data Cleaning, Pandas, Excel, Python, Tableau",0,3.9 to 6.5 Lakhs,5.2L,"4,00,000",25-May-24,Referral,Interview scheduled ,Completed,In Process,34.6,Yes,Partially Eligible,57.1,40
APP111290,CAND27629,Manoj Iyer,42,Male,Master's,B.Com,2007,7.6,"Voice Process, Customer Handling, CRM Software, Chat Support, Email Support, MS Office, Presentation Skills",JOB5203,Customer Support Executive,Xcel Softwares,BPO / Customer Service,Kolkata,West Bengal,Full-Time,Work From Office,"MS Office, Customer Handling, Communication, Chat Support, Voice Process",0,4.1 to 5.2 Lakhs,5.1,4.5,11-04-2023,Referral,interview scheduled,Completed,In Process,80,Yes,Eligible,86.6,8
APP115441,CAND29039,Aryan Iyengar,33,Male,Bachelor's,B.Sc Computer Science,2009,4.5,"TypeScript, React, REST API, Presentation Skills, MongoDB, Bootstrap",JOB5057,Web Developer,Delta Technologies,Information Technology,Hyderabad,Telangana,Full-Time,Hybrid,"React, REST API, Git, CSS, JavaScript",0,670000-980000,7.9,7.1,09-07-2024,LinkedIn,Interview scheduled ,Completed,In Process,37.7,Yes,Partially Eligible,63.2,4
APP101742,CAND27381,Geeta Rao,24,Female,Bachelor's,MBA Marketing,2007,9.5,"Social Media Marketing, Google Analytics, Canva",JOB5571,Digital Marketing Executive,Panther Industries,Marketing & Advertising,Delhi,Delhi,Full-Time,Work From Office,"Email Marketing, Content Marketing, Social Media Marketing, Copywriting",3,Rs. 7.7 - 9.0 LPA,"7,60,000",INR 7.7,23-Jan-23,Referral,Reject,Cancelled,Rejected,25.1,Yes,Not Eligible,58.9,4
APP108228,CAND27866,Deepak Iyer,28,Male,Bachelor's,B.A,2024,1,"Exit Formalities, Communication, Employee Engagement, Onboarding, MS Office, Attendance Management",JOB5331,HR Executive,Magna Systems,Human Resources,Noida,Uttar Pradesh,Full-Time,Work From Home,"Attendance Management, Exit Formalities, Labour Law, Employee Engagement",2,2.5-3.9 LPA,3,INR 2.3,23-10-2023,Company Website,interview scheduled,Completed,In Process,75.3,No,Not Eligible,55.9,26
APP108238,CAND24418,Reyansh Chawla,45,Male,Diploma,BBA,2006,6.5,"Communication, Chat Support, Multitasking, CRM Software",JOB5563,Customer Support Executive,Everes Systems,BPO / Customer Service,Kolkata,West Bengal,Full-Time,Work From Office,"Problem Solving, MS Office, Chat Support, CRM Software",2,380000-480000,"4,80,000",3.7,01-06-2025,Campus Placement,ON HOLD,Not Scheduled,In Process,50.4,Yes,Eligible,69.2,3
APP116213,CAND32084,Kiran Reddy,22,Male,Bachelor's,M.Com,2014,1.3,"Ratio Analysis, SQL, Excel, Financial Modeling, Forecasting, Risk Analysis, Valuation",JOB5893,Financial Analyst,Titan Digital,Finance & Accounting,Mumbai,Maharashtra,Internship,Work From Office,"Valuation, SQL, Financial Modeling, Budgeting, PowerPoint",2,400000-650000,"5,40,000","3,90,000",04-07-2024,Naukri,Rejected,Cancelled,Rejected,62,No,Not Eligible,44.8,7
APP107697,CAND22005,Girija Nair,,Female,12th,Any Graduate,2004,10.2,"Target Achievement, Communication, Sales Reporting, CRM Software, Lead Generation, Negotiation, Market Research",JOB5625,Sales Executive,Nova Cnsulting,Sales & Business Development,Hyderabad,Telangana,Full-Time,Work From Office,"Communication, Negotiation, Presentation Skills, Market Research, Target Achievement",8,720000-800000,8.4L,8.2,22-10-2023,Naukri,Selcted,Completed,Selected,82.9,Yes,Eligible,91.1,20
APP116894,CAND31217,Sowmya Pandey,25,Female,Bachelor's,M.Com,2005,10.4,"Accounts Receivable, Excel, Hindi Proficiency, Taxation",JOB5056,Accountant,Nexus Pvt Ltd,Finance & Accounting,Bengaluru,Karnataka,Full-Time,Work From Office,"Auditing, Excel, Tally, GST, Bank Reconciliation, Accounts Payable",5,6.3-7.0 LPA,"7,50,000",6.3,13-08-2023,Company Website,Reject,Not Scheduled,Rejected,14.6,Yes,Not Eligible,44.9,15
APP108409,CAND25670,Arun Chandran,22,Male,PhD,B.Sc,2021,3.7,"SQL, Stakeholder Management, Communication, Power BI, Excel",JOB5099,Business Analyst,Kite Industries,Information Technology,Bengaluru,Karnataka,Full-Time,Work From Office,"Stakeholder Management, Business Process Modeling, SQL, JIRA, Excel, Agile",0,Rs. 6.2 - 9.2 LPA,7.9,,13-Dec-25,Campus Placement,Interview Scheduled,Completed,In Process,49.8,Yes,Partially Eligible,72.5,37
APP119715,CAND24365,Prakash Trivedi,45,Male,Bachelor's,BCA,2015,5,"C++, Algorithms, SQL, JavaScript, Python, Data Structures",JOB5444,Software Developer,Nexus Consulting,Information Technology,Coimbatore,Tamil Nadu,Full-Time,Work From Office,"SQL, REST API, Algorithms, Data Structures",2,9.6 to 14.4 Lakhs,13.7 LPA,9.3,07-10-2023,Referral,interview scheduled,Completed,In Process,74.1,Yes,Eligible,87.2,42
APP111541,CAND27151,Kiran Arora,29,Male,Master's,B.Sc Computer Science,2011,5.8,"Virtualization, AWS, Troubleshooting, Shell Scripting, Active Directory, Security, Linux",JOB5377,System Administrator,Zenith Services,Information Technology,Kolkata,West Bengal,Full-Time,Work From Home,"Security, Networking, Windows Server, Virtualization, Backup Management",5,6.7-9.0 LPA,INR 8.0,7.4 LPA,23-04-2025,Company Website,Interview scheduled ,Completed,In Process,38.2,Yes,Partially Eligible,61.5,45
APP115667,CAND32257,Praveen Murugan,35,Male,Bachelor's,Diploma in IT,2002,5.8,,JOB5117,System Administrator,Crescent Innovations,Information Technology,Delhi,,Full-Time,Work From Office,"AWS, Backup Management, Shell Scripting, Security, Active Directory",3,6.7L-9.0L,6.9 LPA,,06/24/2025,Indeed,Selcted,Completed,Selected,81.5,Yes,Eligible,91.5,10
APP107924,CAND26301,Nisha Iyengar,20,Female,,BCA,2025,0,"VLOOKUP, Pandas, Python, Tableau, Data Visualization, Data Cleaning, Power BI",JOB5799,Data Analyst,Delta Services ,Information Technology,Coimbatore,Tamil Nadu,Contract,Work From Office,"VLOOKUP, Tableau, Data Visualization, Data Cleaning, Excel, SQL",0,3.5 to 4.8 Lakhs,"3,40,000",3,22-Mar-23,LinkedIn,Interview Scheduled,Completed,In Process,65.8,Partial,Partially Eligible,61.7,27
APP109160,CAND25295,Rohan Sen,37,Male,Bachelor's,B.A English,2013,2.1,"Copywriting, Time Management, SEO Writing, Proofreading, WordPress, Editing",JOB5775,Content Writer,Falcon Global,Media & Communication,delhi,Delhi,Full-Time,Hybrid,"Editing, Research, Content Writing, WordPress, Blogging",2,Rs. 2.8 - 4.1 LPA,"3,50,000",3.3,26-01-2023,Referral,Applied,Not Scheduled,In Process,39,Partial,Partially Eligible,51.2,31
APP103808,CAND30528,Siddharth Balan,27,Male,12th,B.Sc Computer Science,2002,13.6,"Test Cases, Bug Tracking, Critical Thinking, Presentation Skills, SQL",JOB5889,QA Tester,Granite Services,Information Technology, Mumbai,Maharashtra,Full-Time,Hybrid,"Automation Testing, Test Cases, Regression Testing, Manual Testing",1,8.9L-10L,10.3 LPA,INR 8.3,17-02-2024,Campus Placement,shortlisted,Scheduled,In Process,23.2,Yes,Not Eligible,56.4,11
APP111999,CAND29883, Madhavi Chawla,43,Female,Master's,BBA,2015,10,"Voice Process, Email Support, Problem Solving, Customer Handling",JOB5550,Customer Support Executive,Aster Enterprises,BPO / Customer Service,Hyderabad,Telangana,Internship,Work From Office,"Customer Handling, Email Support, Communication, Chat Support",2,5.0L-5.5L,INR 5.0,4.3,07-04-2025,LinkedIn,REJECTED,Cancelled,Rejected,49.9,Yes,Partially Eligible,70.3,26
APP117442,CAND29892,Ramesh Sharma,30,Male,Bachelor's,BCA,2017,6.2,"Test Cases, Hindi Proficiency, SQL, Bug Tracking, Automation Testing",JOB5770,QA Tester,Quantum Enterprises,Information Technology,Salem,Tamil Nadu,Full-Time,Work From Office,"SQL, Test Cases, Regression Testing, Selenium",5,6.3 to 8.4 Lakhs,7.9,7.7,15-07-2023,Campus Placement,interview scheduled,Completed,In Process,47.1,Yes,Partially Eligible,68.3,35
APP108103,CAND23746,Ashok Das,24,Male,Bachelor's,BBA,2016,7.2,"Canva, Content Marketing, SEO, Email Marketing, Social Media Marketing, SEO Tools",JOB5466,Digital Marketing Executive,Vertex Digital,Marketing & Advertising,Noida,Uttar Pradesh,Full-Time,Work From Office,"SEM, SEO, SEO Tools, Copywriting",2,620000-819999,"8,19,999",5.8,21-07-2024,Company Website,ON HOLD,Not Scheduled,In Process,52.7,Yes,Eligible,68.1,15
APP113641,CAND33997,Geeta Patel,44,Female,Master's,B.Sc Computer Science,2014,4.6,"Hindi Proficiency, Networking, AWS, Linux, Virtualization, Troubleshooting",JOB5625,System Administrator,Yellowstone oftwares,Information Technology,Gurugram,Haryana,Full-Time,Work From Office,"AWS, Windows Server, Shell Scripting, Active Directory",0,5.8L-8.1L,6,6.7,28-10-2024,Company Website,Short-listed,Scheduled,In Process,22.7,Yes,Not Eligible,50.3,5
APP114110,CAND20499,Arjun Rao,36,,Bachelor's,M.Tech,2024,0.5,"Git, Algorithms, C++",JOB5134,Software Developer,Ganga Labs,Information Technology,Hyderabad,Telangana,Full-Time,Work From Home,"Java, JavaScript, Python, Algorithms, Data Structures, Spring Boot",0,Rs. 4 - 7.2 LPA,INR 4.1,"4,20,000",03-05-2023,LinkedIn,Reject,Not Scheduled,Rejected,16.8,Yes,Not Eligible,49.2,4
APP102491,CAND28283,Padma Sharma,40,Female,Master's,MCA,2025,0,"Data Visualization, Python, Pandas",JOB5639,Data Scientist,Rpid Systems,Information Technology,Bombay,Maharashtra,Internship,Hybrid,"Pandas, Statistics, TensorFlow, Data Visualization, Machine Learning",0,6-8.4 LPA,INR 5.6,5.3,04-02-2023,LinkedIn,APPLIED,Not Scheduled,In Process,42.4,Partial,Partially Eligible,52.3,27
APP102218,CAND33853,Kiran Chatterjee,27,Male,Master's,B.A English,2009,8,"Proofreading, Grammar, Hindi Proficiency, Research",JOB5042,Content Writer,Rapid Industries,Media & Communication,BENGALURU,Karnataka,Full-Time,Hybrid,"Content Writing, Creativity, Blogging, Research, Proofreading",3,Rs. 5.4 - 6.8 LPA,5.9,5.6L,06-07-2025,Company Website,SHORTLISTED,Scheduled,In Process,39.2,Yes,Partially Eligible,60.2,18
APP103818,CAND23455,Lakshmi Saxena,37,Female,12th,Any Graduate,2004,14.7,"Chat Support, Voice Process, Communication, CRM Software",JOB5774,Customer Support Executive,Bright Solutions,BPO / Customer Service,Ahmedabad,Gujarat,Contract,Hybrid,"Chat Support, Problem Solving, MS Office, Multitasking",3,5.0 to 5.5 Lakhs,6.2 LPA,4.4,11/30/2023,Campus Placement,Shortlisted,Not Scheduled,In Process,24.8,Yes,Not Eligible,57.6,28
APP114839,CAND21688,Sneha Pandey,23,Female,Master's,BCA,2012,0.4,"REST API, MS Office, Java, Git, C++, Presentation Skills",JOB5213,Software Developer,Mana Technologies,Information Technology,Chennai,Tamil Nadu,Full-Time,Hybrid,"Git, REST API, Algorithms, JavaScript, C++",8,4L-7.0L,"5,30,000",3.5,09-08-2024,LinkedIn,Not Selected,Not Scheduled,Rejected,62.2,No,Not Eligible,44.6,3
APP119816,CAND31314,Deepa Chawla,28,Female,Bachelor's,MBA HR,2016,3.6,"Employee Engagement, MS Office, Leadership, Payroll, Time Management, Recruitment, Exit Formalities",JOB5746,HR Executive,Bharat Global,Human Resources,Pune,Maharashtra,Part-Time,Work From Office,"Payroll, MS Office, Exit Formalities, Labour Law, Recruitment",8,3.7-5.3 LPA,4.2,3.7L,03-07-2023,,interview scheduled,No Show,In Process,82.2,No,Not Eligible,60,16
APP119070,CAND30807,Muthu Trivedi,39,Male,Bachelor's,,2003,0,"Tableau, Data Visualization, VLOOKUP",JOB5247,Data Analyst,Horizon Industries,Information Technology,Hyderabad,Telangana,Full-Time,Work From Office,"SQL, Excel, Pandas, VLOOKUP, Statistics",0,3.5-4.8 LPA,3.9L,INR 3.3,05-11-2023,Company Website,Not Selected,Not Scheduled,Rejected,17.2,Partial,Not Eligible,30.7,20
APP101940,CAND30666,Chirag Gupta,33,Male,PhD,BBA,2002,1,"Recruitment, Employee Engagement, Payroll, MS Office, Onboarding",JOB5427,HR Executive,Pinnacle Networks,Human Resources,Chenai,Tamil Nadu,Full-Time,Work From Office,"Payroll, Exit Formalities, Attendance Management, Labour Law, Onboarding",5,2.5 to 3.9 Lakhs,INR 3.0,INR 3.1,21-12-2025,LinkedIn,rejected,Cancelled,Rejected,42.8,No,Not Eligible,35.8,4
APP111272,CAND20863,Riya Mukherjee,34,Female,Bachelor's,B.Com,2010,8.7,"Client Relationship, Negotiation, Target Achievement, Cold Calling, Presentation Skills, CRM Software",JOB5211,Sales Executive,Ironclad Consulting,Sales & Business Development,gurugram ,Haryana,Full-Time,Work From Office,"Lead Generation, Cold Calling, Target Achievement, Market Research, Presentation Skills",0,6.5-8.0 LPA,7.1 LPA,"6,00,000",05-01-2024,Indeed,ON HOLD,Not Scheduled,In Process,57.4,Yes,Eligible,73.2,7
APP106499,CAND29506,Suresh Warrier,32,,Master's,BBA Finance,2011,7.8,"Excel, Bank Reconciliation, Accounts Receivable, Tally, Bookkeeping, TDS",JOB5647,Accountant,Nova Ventures,Finance & Accounting,Pune,Maharashtra,Full-Time,Hybrid,"Auditing, Excel, Tally, Accounts Receivable, Accounts Payable",2,5.3L-6.7L,5.7 LPA,5.2,27-Jan-25,LinkedIn,On Hold,,In Process,58.6,Yes,Eligible,73.6,10
APP112209,CAND29378,Anil Murugan,30,Male,Bachelor's,B.Com,2020,,"Risk Analysis, PowerPoint, Financial Reporting, Valuation, Excel, Financial Modeling, SQL",JOB5085,Financial Analyst,Unity Systems,Finance & Accounting,chennai ,Tamil Nadu,Full-Time,Work From Office,"Valuation, Forecasting, SQL, Risk Analysis, PowerPoint, Excel",3,Rs. 4.9 - 7.6 LPA,6.3L,6.2L,24-09-2025,Campus Placement,ON HOLD,Not Scheduled,In Process,83.3,No,Not Eligible,58.8,9
APP111850,CAND25645,Vijay Krishnan,26,Male,Master's,BBA Finance,2025,0,"Budgeting, Valuation, Ratio Analysis, Forecasting, SQL",JOB5262,Financial Analyst,Falcon Global,Finance & Accounting,Cochin,Kerala,Full-Time,Hybrid,"Excel, Financial Modeling, Financial Reporting, Budgeting, PowerPoint",2,Rs. 4 - 5.3 LPA,4.4,3.2,11-09-2025,Company Website,On Hold,Not Scheduled,In Process,23,No,Not Eligible,25.4,7
APP104070,CAND29227,Dhruv Pandey,42,Male,PhD,B.A,2004,2.9,"English Proficiency, Attendance Management, Labour Law, Payroll, Recruitment, MS Office, Communication",JOB5223,HR Executive,Xcel Global,Human Resources,Noida,Uttar Pradesh,Full-Time,Work From Office,"Recruitment, HRMS, Employee Engagement, Onboarding, Labour Law, Exit Formalities",5,330000-490000,4.6L,3.9,18-07-2023,LinkedIn,On Hold,Not Scheduled,In Process,34.9,No,Not Eligible,28.8,26
APP120146,CAND34243,Keerthana Mukherjee,26,,Bachelor's,BBA,2004,5.5,"JIRA, Business Process Modeling, Leadership, SQL, Requirement Gathering, Power BI, Hindi Proficiency",JOB5754,Business Analyst,Bright Industries,Information Technology,Hyderabad,Telangana,Full-Time,Work From Office,"JIRA, SQL, Stakeholder Management, Documentation",8,8.0L-11.0L,8.2L,7.1,26-01-2024,Referral,ON HOLD,Cancelled,In Process,48.9,No,Not Eligible,40,43
APP119427,CAND32273,Suresh Joshi,42,Male,Bachelor's,,2019,1.7,"API Testing, Regression Testing, Agile",JOB5605,QA Tester,Magna Systems,Information Technology,Kochi,Kerala,Contract,Work From Office,"SQL, API Testing, JIRA, Test Cases",1,310000-520000,4.3 LPA,"3,30,000",04/16/2025,Campus Placement,Pending,Not Scheduled,In Process,23,Yes,Not Eligible,57.5,14
APP113399,CAND23702,Ashok Chauhan,21,Other,Bachelor's,B.Com,2021,2,"TDS, Bank Reconciliation, GST, Excel, Critical Thinking, Tally, Accounts Receivable, Taxation",JOB5801,Accountant,Nova Ventures,Finance & Accounting,Hyderabad,Telangana,Part-Time,Work From Home,"Auditing, Accounts Payable, Excel, GST",1,2.7 to 4.1 Lakhs,3.5,"2,80,000",02-08-2025,Campus Placement,Rejected,Not Scheduled,Rejected,49.8,Yes,Partially Eligible,73,16
APP116914,CAND29030,Ramya Yadav,24,Female,Master's,B.Tech,2023,2,"Shell Scripting, Linux, Virtualization",JOB5159,System Administrator,Bluepeak Technologies,Information Technology,Hyderabad,Telangana,Full-Time,Work From Home,"Backup Management, Networking, AWS, Linux",2,390000-610000,4.5 LPA,4.8L,09-12-2025,Naukri,Rejected,Not Scheduled,Rejected,23.9,Partial,Not Eligible,36.9,12
APP114146,CAND32030,Siddharth Malhotra,32,Male,Bachelor's,BBA,2009,5.9,"Documentation, Business Process Modeling, Teamwork, Requirement Gathering, Problem Solving, SQL",JOB5605,Business Analyst,Crescent Innovations,Information Technology,chennai ,Tamil Nadu,Full-Time,Hybrid,"Business Process Modeling, SQL, Power BI, Requirement Gathering",5,840000-1140000,10.2L,INR 9.5,14-08-2023,LinkedIn,Selected,Completed,Selected,76.8,Yes,Eligible,83.5,44
APP110142,CAND24446,Shalini Das,37,Female,Master's,B.Tech,2019,6,"Agile, API Testing, Selenium, Automation Testing, SQL, Test Cases",JOB5275,QA Tester,Falcon Ventures,Information Technology,Delhi,Delhi,Full-Time,Work From Home,"API Testing, Agile, Test Cases, SQL",4,Rs. 6.1 - 8.2 LPA,6.6,6.3 LPA,06-07-2025,LinkedIn,SELECTED,Completed,Selected,100,Yes,Eligible,98.9,37
APP107104,CAND33481,Anil Reddy,34,Male,Bachelor's,M.Com,2020,5,"Ratio Analysis, Budgeting, Risk Analysis, Valuation, SQL, Forecasting",JOB5047,Financial Analyst,Saffron Infotech,Finance & Accounting,Chennai,Tamil Nadu,Part-Time,Work From Office,"PowerPoint, Risk Analysis, Ratio Analysis, Budgeting, SQL",1,720000-990000,8.5,6.6 LPA,12-10-2024,Company Website,Interview Scheduled,Completed,In Process,80.7,Yes,Eligible,87.7,9
APP100815,CAND21974,Trisha Iyer,23,Female,Master's,B.A,2012,5.2,"Research, Presentation Skills, Copywriting, MS Office, Proofreading, Blogging, Content Writing, Creativity",JOB5433,Content Writer,Bharat Labs,Media & Communication,Pune,Maharashtra,Full-Time,Hybrid,"Content Writing, Copywriting, Grammar, WordPress, SEO Writing",5,4.2-5.5 LPA,4.1,4.7,16-04-2024,Indeed,Interview Scheduled,Completed,In Process,39.7,Partial,Partially Eligible,50.8,21
APP119012,CAND21664,Riya Ghosh,36,Other,Bachelor's,Any Graduate,2008,4.7,"Email Support, Multitasking, Chat Support",JOB5037,Customer Support Executive,Falcon Global,BPO / Customer Service,mumbai,Maharashtra,Part-Time,Work From Office,"Customer Handling, CRM Software, MS Office, Communication",1,3.1 to 4.2 Lakhs,3.8 LPA,3,19-08-2023,Company Website,Rejected,Not Scheduled,Rejected,0.3,Yes,Not Eligible,36.9,37
APP116396,CAND23678,Muthu Rathore,30,Male,Bachelor's,BCA,2002,1.6,"Data Visualization, Power BI, Python, Data Cleaning, VLOOKUP, Tableau",JOB5863,Data Analyst,Granite Services,Information Technology,Pune,Maharashtra,Full-Time,Work From Office,"Data Visualization, VLOOKUP, SQL, Statistics, Excel",4,3.6L-6.1L,5.3L,5,04-06-2024,Indeed,REJECTED,Not Scheduled,Rejected,42.5,No,Not Eligible,34.1,7
APP110086,CAND26810,Muthu Rathore,28,Male,Bachelor's,B.Tech,2003,8.3,"Regression Testing, API Testing, Selenium, Bug Tracking, Agile, Automation Testing, Test Cases",JOB5726,QA Tester,Orbit Labs ,Information Technology,Noida,Uttar Pradesh,Full-Time,Work From Home,"Agile, API Testing, Test Cases, Bug Tracking",6,7.8L-9.9L,8.2 LPA,6.9L,03-04-2023,Indeed,Short-listed,Not Scheduled,In Process,100,Yes,Eligible,96.9,15
APP117399,CAND22264,Vijay Saxena,21,Male,Master's,B.Sc Statistics,2024,1,"Statistics, SQL, Pandas, Data Visualization, Power BI, VLOOKUP",JOB5624,Data Analyst,Vindhy Systems,Information Technology,Gurugram,Haryana,Full-Time,Work From Office,"SQL, Power BI, Data Visualization, Python",0,3.5 to 5.6 Lakhs,4.9L,4.1,09-May-24,Company Website,Selected,Completed,Offer Declined,77.2,Yes,Eligible,83.4,15
APP119170,CAND33641,Trisha Iyer,30,Female,Bachelor's,MCA,2015,3.6,"Regression Testing, Automation Testing, JIRA, Agile, SQL, Bug Tracking, Selenium, Time Management",JOB5011,QA Tester,Yellowstone Industries,Information Technology,Delhi,Delhi,Internship,Work From Office,"JIRA, Automation Testing, Test Cases, SQL, Bug Tracking",1,Rs. 4.5 - 6.6 LPA,4.8L,"4,70,000",17-02-2023,Company Website,interview scheduled,Scheduled,In Process,79.8,Yes,Eligible,84.4,14
APP120004,CAND29249,Nikhil Saxena,27,Male,Master's,CA Inter,2017,6.6,"Excel, Taxation, Tally, GST",JOB5757,Accountant,TRIDENT DIGITAL,Finance & Accounting,Pune,Maharashtra,Full-Time,Work From Office,"TDS, Bookkeeping, GST, Auditing, Accounts Receivable, Tally",1,4.8-6.1 LPA,INR 5.3,5.1L,10-08-2024,Indeed,Pending,Not Scheduled,In Process,31.2,Yes,Partially Eligible,55.3,32
